Category,Internal Key,Display Label,Initial Value,Value Type,Scope
Project Factors,SMALL_PROJECT_IM_FACTOR,Small Project IM Percentage,0.1,percentage,Global
Project Factors,STANDARD_IM_FACTOR,Standard IM Percentage,0.2,percentage,Global
Project Factors,SMALL_PROJECT_PREP_FACTOR,Small Project Prep Percentage,0.05,percentage,Global
Project Factors,STANDARD_PREP_FACTOR,Standard Prep Percentage,0.1,percentage,Global
Project Factors,SMALL_PROJECT_CONTINGENCY,Small Project Contingency,0.075,percentage,Global
Project Factors,STANDARD_CONTINGENCY,Standard Contingency,0.15,percentage,Global
Testing,UNIT_TEST_FACTOR,Unit Testing Percentage of Development,0.15,percentage,Global
Plan,PROJECT_KICKOFF_NET_NEW_HOURS,Project Kickoff - Net New,8,hours,Global
Plan,PROJECT_KICKOFF_SMALL_HOURS,Project Kickoff - Small Project,2,hours,Global
Plan,PROJECT_KICKOFF_STANDARD_HOURS,Project Kickoff - Standard,4,hours,Global
Install,HA_INSTALL_INCREMENT_HOURS,High Availability Installation Increment,6,hours,Global
Install,GATEWAY_INSTALL_HOURS,Gateway Installation,8,hours,Global
Plan,BASE_APP_PACKAGE_INSTALL_HOURS,Base Application Package Install,4,hours,Global
Plan,CUSTOMER_FACILITY_REVIEW_HOURS,Customer Facility Review - Net New,8,hours,Global
Plan,ACCESS_CONFIRMATION_HOURS,VPN/ERP Access Confirmation Per Required Access,2,hours,Global
Plan,PACEJET_REQUIREMENTS_HOURS,PaceJet Requirements Session,8,hours,Global
Plan,SOLUTION_ORIENTATION_FACTOR_1,Solution Orientation Preparation Factor,0.5,percentage,Global
Plan,SOLUTION_ORIENTATION_FACTOR_2,Solution Orientation Session Factor,0.35,percentage,Global
Plan,GAP_ANALYSIS_FACTOR,Gap Analysis Factor,0.35,percentage,Global
Plan,BRD_FACTOR,BRD Creation Factor of Build,0.15,percentage,Global
Design,CUSTOMER_TEST_SCRIPT_FACTOR,Customer Test Script Approval Factor,0.25,percentage,Global
Design,CI_TEST_SCRIPT_FACTOR,CI Test Script Creation Factor,0.05,percentage,Global
Design,INTERNAL_DESIGN_REVIEW_HOURS,Internal Solution Design Review,4,hours,Global
Design,SOLUTION_DESIGN_FACTOR,Solution Design Factor,0.2,percentage,Global
Build,APP_DEV_TRAINING_HOURS,Application Developer Training,24,hours,Global
Build,ADMIN_TRAINING_NET_NEW_HOURS,Admin/User/Role Training - Net New,2,hours,Global
Build,PACEJET_VALIDATION_HOURS,PaceJet Solution Validation,8,hours,Global
Build,APP_DEMO_HOURS_PER_APP,Application Demonstration Hours Per Application,1.5,hours_per_item,Global
Build,APP_REMEDIATION_FACTOR,Application Remediation Review Factor,0.5,percentage,Global
Build,SOLUTION_WORKSHOP_FACTOR,Solution Workshop Factor,0.5,percentage,Global
Build,PROMOTION_VALIDATION_FACTOR,Application Promotion & Stage Validation Factor,0.025,percentage,Global
Test,END_USER_DOC_HOURS_PER_APP,End User Documentation Hours Per App,2,hours_per_item,Global
Test,UAT_PREP_STANDARD_HOURS,UAT Prep Standard Hours,2,hours,Global
Test,LOAD_TEST_FACTOR,Go-Live Readiness Assessment Factor,0.2,percentage,Global
Test,GO_LIVE_PREP_VALIDATION_FACTOR,Go-Live Prep & Production Validation Factor,0.5,percentage,Global
Go Live,GO_LIVE_PREP_FACTOR,Go-Live Prep Meeting Factor,0.025,percentage,Global
Go Live,GO_LIVE_REMOTE_BASE_HOURS,Remote Go-Live Base Hours,32,hours,Global
Go Live,GO_LIVE_REMOTE_EXTRA_SITE_HOURS,Remote Go-Live Extra Site Hours,16,hours,Global
